id,module_id,node_sum,flow_max,flow_mean,flow_median
0,1,241,0.00449,9.282157676348548e-05,2e-05
1,2,362,0.00399,5.925414364640884e-05,2e-05
2,3,138,0.00205,0.00013710144927536232,2e-05
3,4,144,0.00212,0.00012965277777777777,6e-05
4,5,89,0.00185,0.00018674157303370787,7e-05
5,6,294,0.00407,5.707482993197279e-05,2e-05
6,7,214,0.00191,6.523364485981308e-05,3e-05
7,8,119,0.00219,0.0001195798319327731,4e-05
8,9,104,0.0023,0.00013442307692307693,4e-05
9,10,156,0.00226,8.762820512820512e-05,2e-05
10,11,103,0.00101,0.00012262135922330098,6e-05
11,12,79,0.00218,0.00013481012658227848,2e-05
12,13,116,0.00091,8.672413793103448e-05,3e-05
13,14,123,0.00141,7.666666666666667e-05,3e-05
14,15,70,0.00143,0.0001245714285714286,5e-05
15,16,169,0.00199,4.8579881656804736e-05,2e-05
16,17,143,0.00167,5.629370629370629e-05,2e-05
17,18,112,0.00194,7.17857142857143e-05,3e-05
18,19,120,0.00138,6.366666666666666e-05,2e-05
19,20,166,0.00288,4.7469879518072286e-05,1e-05
