citing_year,cited_name,cited_total
1/1/2012,Paul Matsuda,11
1/1/2012,Elizabeth Wardle,7
1/1/2012,David Bartholomae,4
1/1/2012,Kenneth Burke,4
1/1/2012,Linda Adler-Kassner,4
1/1/2012,Kathleen Blake Yancy,3
1/1/2012,Laura Micciche,3
1/1/2012,Patricia Bizzell,3
1/1/2012,Cheryl Glenn,2
1/1/2012,Linda Flower,2
1/1/2012,Mike Rose,1
1/1/2012,Min-Zhan Lu,1
1/1/2012,Sharon Crowley,1
1/1/2012,Sidney Dobrin,1
1/1/2012,Victor Villanueva,1
1/1/2013,Bruce Horner,24
1/1/2013,Ellen Cushman,19
1/1/2013,Deborah Brandt,18
1/1/2013,Jacqueline Jones Royster,17
1/1/2013,Sharon Crowley,17
1/1/2013,Cheryl Glenn,16
1/1/2013,Linda Adler-Kassner,16
1/1/2013,David Bartholomae,14
1/1/2013,Patricia Bizzell,14
1/1/2013,Sidney Dobrin,14
1/1/2013,Kathleen Blake Yancy,13
1/1/2013,Kenneth Burke,12
1/1/2013,Victor Villanueva,12
1/1/2013,Laura Micciche,11
1/1/2013,Min-Zhan Lu,11
1/1/2013,Cynthia L. Selfe,10
1/1/2013,Paul Matsuda,10
1/1/2013,Elizabeth Wardle,9
1/1/2013,Jessica Enoch,9
1/1/2013,Mike Rose,9
1/1/2013,Linda Flower,8
1/1/2013,A. Suresh Canagarajah,7
1/1/2013,John Trimbur,5
1/1/2013,Jonathan Alexander,5
1/1/2013,Bruno Latour,4
1/1/2014,Bruno Latour,26
1/1/2014,Deborah Brandt,20
1/1/2014,Kathleen Blake Yancy,18
1/1/2014,Kenneth Burke,18
1/1/2014,Bruce Horner,16
1/1/2014,Jacqueline Jones Royster,16
1/1/2014,John Trimbur,15
1/1/2014,Linda Adler-Kassner,15
1/1/2014,Linda Flower,13
1/1/2014,Victor Villanueva,13
1/1/2014,Cynthia L. Selfe,12
1/1/2014,Elizabeth Wardle,12
1/1/2014,Sharon Crowley,12
1/1/2014,Cheryl Glenn,11
1/1/2014,Ellen Cushman,11
1/1/2014,Sidney Dobrin,10
1/1/2014,A. Suresh Canagarajah,9
1/1/2014,David Bartholomae,9
1/1/2014,Mike Rose,7
1/1/2014,Jessica Enoch,6
1/1/2014,Patricia Bizzell,6
1/1/2014,Min-Zhan Lu,5
1/1/2014,Paul Matsuda,5
1/1/2014,Jonathan Alexander,4
1/1/2014,Laura Micciche,3
1/1/2015,Bruce Horner,31
1/1/2015,Jessica Enoch,27
1/1/2015,Linda Adler-Kassner,26
1/1/2015,Jacqueline Jones Royster,24
1/1/2015,Kenneth Burke,24
1/1/2015,Kathleen Blake Yancy,22
1/1/2015,Deborah Brandt,21
1/1/2015,Ellen Cushman,21
1/1/2015,Sharon Crowley,21
1/1/2015,A. Suresh Canagarajah,18
1/1/2015,Elizabeth Wardle,17
1/1/2015,Mike Rose,17
1/1/2015,Cheryl Glenn,15
1/1/2015,Cynthia L. Selfe,15
1/1/2015,Sidney Dobrin,15
1/1/2015,David Bartholomae,12
1/1/2015,John Trimbur,12
1/1/2015,Jonathan Alexander,12
1/1/2015,Bruno Latour,11
1/1/2015,Linda Flower,10
1/1/2015,Patricia Bizzell,9
1/1/2015,Laura Micciche,8
1/1/2015,Min-Zhan Lu,7
1/1/2015,Victor Villanueva,6
1/1/2015,Paul Matsuda,3
1/1/2016,Bruce Horner,39
1/1/2016,A. Suresh Canagarajah,32
1/1/2016,Paul Matsuda,30
1/1/2016,Kenneth Burke,24
1/1/2016,Min-Zhan Lu,23
1/1/2016,Kathleen Blake Yancy,22
1/1/2016,Jacqueline Jones Royster,20
1/1/2016,Linda Adler-Kassner,19
1/1/2016,Elizabeth Wardle,17
1/1/2016,Jessica Enoch,14
1/1/2016,Laura Micciche,13
1/1/2016,Sharon Crowley,13
1/1/2016,Bruno Latour,12
1/1/2016,Deborah Brandt,12
1/1/2016,Sidney Dobrin,12
1/1/2016,Cynthia L. Selfe,11
1/1/2016,John Trimbur,11
1/1/2016,David Bartholomae,10
1/1/2016,Linda Flower,10
1/1/2016,Mike Rose,10
1/1/2016,Ellen Cushman,8
1/1/2016,Victor Villanueva,8
1/1/2016,Cheryl Glenn,7
1/1/2016,Jonathan Alexander,7
1/1/2016,Patricia Bizzell,7
1/1/2017,Jacqueline Jones Royster,26
1/1/2017,Bruce Horner,22
1/1/2017,Deborah Brandt,22
1/1/2017,Linda Adler-Kassner,19
1/1/2017,Ellen Cushman,18
1/1/2017,Paul Matsuda,18
1/1/2017,Patricia Bizzell,17
1/1/2017,Jessica Enoch,16
1/1/2017,Kathleen Blake Yancy,16
1/1/2017,Min-Zhan Lu,16
1/1/2017,Victor Villanueva,16
1/1/2017,Jonathan Alexander,15
1/1/2017,Laura Micciche,13
1/1/2017,Cheryl Glenn,11
1/1/2017,John Trimbur,10
1/1/2017,Sharon Crowley,10
1/1/2017,Cynthia L. Selfe,9
1/1/2017,Linda Flower,9
1/1/2017,Mike Rose,9
1/1/2017,Sidney Dobrin,8
1/1/2017,Bruno Latour,7
1/1/2017,Elizabeth Wardle,7
1/1/2017,A. Suresh Canagarajah,6
1/1/2017,Kenneth Burke,6
1/1/2017,David Bartholomae,4
1/1/2018,Jacqueline Jones Royster,34
1/1/2018,Kathleen Blake Yancy,19
1/1/2018,Jonathan Alexander,18
1/1/2018,Bruce Horner,17
1/1/2018,Kenneth Burke,16
1/1/2018,Patricia Bizzell,15
1/1/2018,Sidney Dobrin,15
1/1/2018,Deborah Brandt,13
1/1/2018,Linda Adler-Kassner,13
1/1/2018,Linda Flower,13
1/1/2018,Mike Rose,13
1/1/2018,David Bartholomae,12
1/1/2018,Jessica Enoch,11
1/1/2018,Min-Zhan Lu,11
1/1/2018,Sharon Crowley,11
1/1/2018,Victor Villanueva,11
1/1/2018,Elizabeth Wardle,10
1/1/2018,John Trimbur,9
1/1/2018,Laura Micciche,7
1/1/2018,Paul Matsuda,7
1/1/2018,Bruno Latour,5
1/1/2018,Cheryl Glenn,5
1/1/2018,Ellen Cushman,5
1/1/2018,A. Suresh Canagarajah,4
1/1/2018,Cynthia L. Selfe,4
1/1/2019,Jessica Enoch,11
1/1/2019,Bruce Horner,10
1/1/2019,A. Suresh Canagarajah,7
1/1/2019,Linda Adler-Kassner,6
1/1/2019,Deborah Brandt,4
1/1/2019,Ellen Cushman,4
1/1/2019,Jacqueline Jones Royster,4
1/1/2019,Kathleen Blake Yancy,4
1/1/2019,Laura Micciche,4
1/1/2019,Paul Matsuda,4
1/1/2019,Kenneth Burke,3
1/1/2019,Cynthia L. Selfe,2
1/1/2019,John Trimbur,2
1/1/2019,Mike Rose,2
1/1/2019,Min-Zhan Lu,2
1/1/2019,Bruno Latour,1
1/1/2019,David Bartholomae,1
1/1/2019,Jonathan Alexander,1
1/1/2019,Patricia Bizzell,1
1/1/2019,Sharon Crowley,1
1/1/2019,Sidney Dobrin,1
